phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
stream,encrypted,false,8388608,random,0,360.465,20595.093,22378.388,8659328
whole,encrypted-signed,true,8388608,random,0,1146.906,25550.571,29283.973,8669568
whole,signed,true,8388608,random,0,21461.805,14131.144,36065.156,8669568
range,encrypted,true,8388608,random,0,285.864,9226.107,11265.855,8659328
whole,plain,false,8388608,random,0,373.936,26299.371,28612.264,8659328
range,encrypted,false,8388608,random,0,243.274,13284.492,15444.383,8659328
range,encrypted-signed,true,8388608,random,0,1034.074,15136.098,18155.490,8669568
whole,signed,false,8388608,random,0,22559.110,13982.032,38556.700,8673664
range,encrypted-signed,false,8388608,random,0,1038.325,12897.157,15910.279,8673664
range,plain,false,8388608,random,0,279.434,11219.244,11875.643,8659328
range,signed,false,8388608,random,0,16618.379,1062.544,18225.751,8673664
stream,encrypted-signed,true,8388608,random,0,1107.985,15059.287,18155.170,8669568
stream,signed,false,8388608,random,0,21485.466,4814.626,26639.096,8673664
whole,encrypted,false,8388608,random,0,251.303,22645.112,25478.760,8659328
whole,plain,true,8388608,random,0,276.224,25914.807,28275.569,8659328
range,plain,true,8388608,random,0,265.823,9102.705,9664.063,8659328
stream,plain,false,8388608,random,0,194.162,10834.809,11368.446,8659328
stream,encrypted-signed,false,8388608,random,0,1052.855,15015.016,18068.529,8673664
range,signed,true,8388608,random,0,20936.748,1049.724,22252.586,8669568
whole,encrypted,true,8388608,random,0,230.333,22104.084,24835.642,8659328
stream,encrypted,true,8388608,random,0,618.318,23691.136,25274.527,8659328
stream,plain,true,8388608,random,0,366.345,14744.523,16612.788,8659328
whole,encrypted-signed,false,8388608,random,0,1179.076,27574.349,31264.100,8673664
stream,signed,true,8388608,random,0,21788.990,4763.326,27963.525,8669568
stream,encrypted,false,8388608,random,0,398.075,20391.100,22427.308,8659328
whole,encrypted-signed,true,8388608,random,0,1183.727,26708.127,30778.414,8669568
whole,signed,true,8388608,random,0,21874.061,14729.033,37169.231,8669568
range,encrypted,true,8388608,random,0,267.923,9667.793,11984.195,8659328
whole,plain,false,8388608,random,0,339.555,26474.404,28971.129,8659328
range,encrypted,false,8388608,random,0,274.454,14366.667,16810.201,8659328
range,encrypted-signed,true,8388608,random,0,1180.676,14824.034,18197.620,8669568
whole,signed,false,8388608,random,0,22485.540,14020.493,38547.751,8673664
range,encrypted-signed,false,8388608,random,0,1043.044,12619.184,15615.695,8673664
range,plain,false,8388608,random,0,272.044,9996.238,10548.665,8659328
range,signed,false,8388608,random,0,16726.490,1068.104,18358.682,8673664
stream,encrypted-signed,true,8388608,random,0,1183.716,17049.124,20544.812,8669568
stream,signed,false,8388608,random,0,22326.427,5191.291,28190.328,8673664
whole,encrypted,false,8388608,random,0,296.904,25236.047,28334.030,8659328
whole,plain,true,8388608,random,0,294.124,25208.777,27518.139,8659328
range,plain,true,8388608,random,0,291.514,8878.792,9455.310,8659328
stream,plain,false,8388608,random,0,244.363,11367.116,12105.416,8659328
stream,encrypted-signed,false,8388608,random,0,1107.115,15803.947,18891.270,8673664
range,signed,true,8388608,random,0,20955.238,1067.845,22622.421,8669568
whole,encrypted,true,8388608,random,0,317.854,25442.080,28332.020,8659328
stream,encrypted,true,8388608,random,0,600.648,23564.045,25170.367,8659328
stream,plain,true,8388608,random,0,405.546,15115.728,17023.555,8659328
whole,encrypted-signed,false,8388608,random,0,1190.917,26974.511,30702.433,8673664
stream,signed,true,8388608,random,0,21265.204,4774.945,27408.338,8669568
stream,encrypted,false,8388608,random,0,358.625,19555.520,21389.815,8659328
whole,encrypted-signed,true,8388608,random,0,1192.946,25317.319,29141.791,8669568
whole,signed,true,8388608,random,0,21075.661,17283.868,39101.079,8669568
range,encrypted,true,8388608,random,0,444.266,10745.158,13269.953,8659328
whole,plain,false,8388608,random,0,418.536,25362.609,27858.774,8659328
range,encrypted,false,8388608,random,0,289.274,12116.317,14252.387,8659328
range,encrypted-signed,true,8388608,random,0,1095.435,13467.596,16437.196,8669568
whole,signed,false,8388608,random,0,21553.407,13311.623,36942.719,8673664
range,encrypted-signed,false,8388608,random,0,1066.695,13323.534,16524.938,8673664
range,plain,false,8388608,random,0,301.035,11869.033,12630.785,8659328
range,signed,false,8388608,random,0,19253.255,1049.245,20760.666,8673664
stream,encrypted-signed,true,8388608,random,0,1144.676,15066.618,18214.981,8669568
stream,signed,false,8388608,random,0,21565.397,5079.820,27113.854,8673664
whole,encrypted,false,8388608,random,0,312.954,24693.150,27438.308,8659328
whole,plain,true,8388608,random,0,365.375,24237.874,26557.876,8659328
range,plain,true,8388608,random,0,264.493,8517.938,9007.604,8659328
stream,plain,false,8388608,random,0,204.183,10607.116,11145.134,8659328
stream,encrypted-signed,false,8388608,random,0,1022.904,14554.081,17457.831,8673664
range,signed,true,8388608,random,0,19863.204,1028.654,21131.741,8669568
whole,encrypted,true,8388608,random,0,245.614,22266.617,25351.630,8659328
