corpus,size,level,repeat,strategy,fast_selected,stored_bytes,encode_us,decode_us
random-prefix,1048576,6,4,dual,true,263017,2589.469,147.502
random-prefix,1048576,6,4,sampled,false,268271,827.063,339.685
random-prefix,1048576,6,5,fast,true,263017,1788.827,148.292
random-prefix,1048576,6,5,dual,true,263017,2612.419,148.492
random-prefix,1048576,6,5,sampled,false,268271,835.803,340.285
random-prefix,1048576,6,5,numeric,false,268271,512.748,338.425
random-prefix,1048576,6,6,dual,true,263017,2619.290,147.552
random-prefix,1048576,6,6,sampled,false,268271,839.683,338.375
random-prefix,1048576,6,6,numeric,false,268271,533.328,342.166
random-prefix,1048576,6,6,fast,true,263017,1813.827,152.342
random-prefix,1048576,6,7,sampled,false,268271,838.233,337.435
random-prefix,1048576,6,7,numeric,false,268271,512.817,335.835
random-prefix,1048576,6,7,fast,true,263017,1759.937,148.152
random-prefix,1048576,6,7,dual,true,263017,2607.830,148.182
