corpus,size,level,repeat,strategy,fast_selected,stored_bytes,encode_us,decode_us
random-prefix,1048576,3,6,fast,true,263017,1745.776,630.949
random-prefix,1048576,3,6,dual,true,263017,2704.380,416.417
random-prefix,1048576,3,6,sampled,false,267295,676.520,947.124
random-prefix,1048576,3,6,stream-default,true,264939,1969.890,760.522
random-prefix,1048576,3,6,stream-better,true,264939,1961.489,867.954
random-prefix,1048576,3,7,fast,true,263017,1798.877,770.602
random-prefix,1048576,3,7,dual,true,263017,2713.871,419.086
random-prefix,1048576,3,7,sampled,false,267295,690.031,951.714
random-prefix,1048576,3,7,stream-default,true,264939,1961.570,718.540
random-prefix,1048576,3,7,stream-better,true,264939,1933.309,896.993
random-prefix,1048576,3,7,numeric,false,267295,323.084,947.135
