phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
range,encrypted-signed,true,8388608,random,9,1052.054,14660.741,18852.636,8669568
whole,encrypted-signed,true,8388608,random,9,1037.604,31231.908,36718.050,8669568
whole,plain,false,8388608,random,10,208.733,25307.601,29501.406,8659328
stream,plain,false,8388608,random,10,207.303,15227.199,17569.110,8659328
range,encrypted,false,8388608,random,10,238.624,10327.485,13720.810,8659328
whole,encrypted,false,8388608,random,10,230.833,31669.944,36744.860,8659328
stream,encrypted-signed,true,8388608,random,10,1152.355,23611.339,28624.335,8669568
range,plain,false,8388608,random,10,225.423,10371.516,12276.531,8659328
stream,encrypted-signed,false,8388608,random,10,1051.574,17733.972,22582.425,8673664
whole,encrypted-signed,true,8388608,random,10,1085.824,32361.994,38101.009,8669568
stream,encrypted,false,8388608,random,10,274.074,22297.962,26360.895,8659328
range,encrypted-signed,true,8388608,random,10,1089.084,14993.327,19327.373,8669568
range,plain,true,8388608,random,10,254.433,9950.640,11851.515,8659328
whole,signed,true,8388608,random,10,16654.828,14891.185,35415.234,8669568
stream,signed,true,8388608,random,10,20307.206,4816.373,27257.657,8669568
stream,plain,true,8388608,random,10,248.303,10861.562,13239.763,8659328
range,signed,false,8388608,random,10,16059.190,1051.513,19278.772,8673664
range,encrypted,true,8388608,random,10,299.514,10405.806,14058.784,8659328
whole,signed,false,8388608,random,10,21191.487,15170.229,40015.264,8673664
range,encrypted-signed,false,8388608,random,10,1035.854,13301.554,17499.269,8673664
whole,encrypted,true,8388608,random,10,254.413,31536.643,36276.435,8659328
range,signed,true,8388608,random,10,20440.858,1049.183,23619.029,8669568
whole,encrypted-signed,false,8388608,random,10,1009.353,27974.136,33474.328,8673664
stream,signed,false,8388608,random,10,20435.457,4769.262,27338.257,8673664
stream,encrypted,true,8388608,random,10,260.593,16411.435,20463.398,8659328
whole,plain,true,8388608,random,10,244.593,25512.103,29735.839,8659328
