phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
range,signed,true,8388608,random,8,16382.944,1063.963,17921.534,8669568
whole,encrypted,true,8388608,random,8,246.734,22009.437,24885.175,8659328
range,encrypted,true,8388608,random,8,257.243,13707.809,15954.358,8659328
stream,encrypted-signed,true,8388608,random,8,1055.324,20293.304,23528.277,8669568
range,encrypted-signed,true,8388608,random,8,1069.904,14304.756,17552.049,8669568
whole,encrypted-signed,true,8388608,random,8,1120.744,27079.934,30873.233,8669568
stream,plain,false,8388608,random,8,205.283,15571.873,16338.553,8659328
range,plain,false,8388608,random,8,208.833,5738.535,6302.112,8659328
stream,encrypted,true,8388608,random,8,252.463,15385.351,17792.852,8659328
stream,signed,false,8388608,random,8,20939.933,4929.434,26414.445,8673664
whole,encrypted-signed,false,8388608,random,8,1036.884,23210.893,27026.273,8673664
range,encrypted,false,8388608,random,9,218.143,13449.235,15664.844,8659328
range,plain,true,8388608,random,9,240.203,10409.256,10980.393,8659328
range,plain,false,8388608,random,9,208.743,5830.016,6344.023,8659328
stream,encrypted,false,8388608,random,9,241.994,15093.727,17482.939,8659328
whole,encrypted,true,8388608,random,9,247.724,27183.974,30206.615,8659328
whole,encrypted-signed,false,8388608,random,9,1031.484,27444.948,31287.799,8673664
range,encrypted,true,8388608,random,9,266.793,13656.218,15990.178,8659328
stream,signed,false,8388608,random,9,20942.473,4895.534,26300.523,8673664
whole,signed,true,8388608,random,9,16921.671,14252.456,33899.923,8669568
stream,encrypted,true,8388608,random,9,341.535,21074.995,24166.906,8659328
stream,encrypted-signed,true,8388608,random,9,1173.495,23074.041,26713.538,8669568
range,encrypted-signed,false,8388608,random,9,1094.664,14986.596,18584.772,8673664
range,signed,true,8388608,random,9,23018.431,1125.484,24886.795,8669568
stream,signed,true,8388608,random,9,18463.891,5276.239,24323.268,8669568
stream,encrypted-signed,false,8388608,random,9,1336.078,17970.314,22014.758,8673664
whole,plain,true,8388608,random,9,365.505,28475.822,31228.858,8659328
range,signed,false,8388608,random,9,20354.055,1077.744,21966.166,8673664
whole,signed,false,8388608,random,9,16659.958,13406.535,32358.172,8673664
stream,plain,false,8388608,random,9,297.654,15608.954,16545.506,8659328
whole,plain,false,8388608,random,9,217.233,20416.776,22833.838,8659328
stream,plain,true,8388608,random,9,244.013,14277.686,14944.755,8659328
whole,encrypted,false,8388608,random,9,324.644,24908.895,27958.244,8659328
range,encrypted-signed,true,8388608,random,9,1216.396,15164.347,18499.341,8669568
whole,encrypted-signed,true,8388608,random,9,1056.704,27785.112,31637.563,8669568
whole,plain,false,8388608,random,10,269.593,24857.625,27359.967,8659328
stream,plain,false,8388608,random,10,234.123,14483.999,15228.168,8659328
range,encrypted,false,8388608,random,10,237.313,11019.244,13455.296,8659328
whole,encrypted,false,8388608,random,10,214.473,27636.800,30530.628,8659328
stream,encrypted-signed,true,8388608,random,10,1133.585,20466.607,23987.543,8669568
range,plain,false,8388608,random,10,260.674,11422.699,12119.869,8659328
stream,encrypted-signed,false,8388608,random,10,1422.769,19019.898,22890.889,8673664
whole,encrypted-signed,true,8388608,random,10,1084.664,28083.587,32016.328,8669568
stream,encrypted,false,8388608,random,10,241.983,20583.339,23728.409,8659328
range,encrypted-signed,true,8388608,random,10,1354.247,16874.021,21039.324,8669568
range,plain,true,8388608,random,10,424.466,12746.016,13687.639,8659328
whole,signed,true,8388608,random,10,20000.341,19899.260,44041.925,8669568
stream,signed,true,8388608,random,10,24143.515,4873.074,29434.854,8669568
stream,plain,true,8388608,random,10,214.933,11784.603,12580.894,8659328
range,signed,false,8388608,random,10,20048.801,1169.916,21981.477,8673664
range,encrypted,true,8388608,random,10,502.446,13495.516,17140.763,8659328
whole,signed,false,8388608,random,10,24547.531,13035.080,39855.761,8673664
range,encrypted-signed,false,8388608,random,10,1200.745,13057.011,16212.951,8673664
whole,encrypted,true,8388608,random,10,287.164,27263.446,30121.143,8659328
range,signed,true,8388608,random,10,21681.013,1061.054,23123.852,8669568
whole,encrypted-signed,false,8388608,random,10,991.353,22113.168,25593.894,8673664
stream,signed,false,8388608,random,10,21568.541,4830.143,26732.428,8673664
stream,encrypted,true,8388608,random,10,349.145,15834.376,18301.659,8659328
whole,plain,true,8388608,random,10,374.655,27424.168,30295.685,8659328
