symbol	domain	return_type	arguments
vault_read_only_list_profile_names	vault.local	RevaultBuffer	const void *handle
vault_read_only_list_contact_names	vault.local	RevaultBuffer	const void *handle
vault_read_only_list_form_aliases	vault.local	RevaultBuffer	const void *handle
vault_read_only_list_known_lockboxes	vault.local	RevaultBuffer	const void *handle
vault_read_only_free	vault.local	void	void *handle
vault_agent_serve	vault.agent	bool	void
vault_agent_verify_transport	vault.agent	bool	void
vault_agent_get	vault.agent	RevaultBuffer	const uint8_t *id, size_t id_len
vault_agent_put	vault.agent	bool	const uint8_t *id, size_t id_len, const uint8_t *key, size_t key_len
vault_agent_forget	vault.agent	bool	const uint8_t *id, size_t id_len
vault_agent_stop	vault.agent	bool	void
vault_agent_start	vault.agent	bool	void
vault_agent_list	vault.agent	RevaultBuffer	void
vault_agent_sleep_support	vault.agent	RevaultBuffer	void
vault_platform_status	vault.platform	RevaultBuffer	void
vault_platform_set_scope	vault.platform	bool	const char *scope, size_t len
vault_platform_forget_password	vault.platform	bool	void
vault_platform_put_password	vault.platform	bool	const uint8_t *password, size_t len
vault_platform_enable	vault.platform	bool	void
vault_platform_disable	vault.platform	bool	void
vault_platform_disabled	vault.platform	bool	void
vault_platform_get_password	vault.platform	RevaultBuffer	void
vault_default_directory	vault.local	RevaultBuffer	void
vault_default_path	vault.local	RevaultBuffer	void
vault_agent_log_path	vault.agent	RevaultBuffer	void
vault_agent_log_destination	vault.agent	RevaultBuffer	void
vault_agent_get_vault_unlock_key	vault.agent	RevaultBuffer	const char *vault_id, size_t vault_id_len
vault_agent_put_vault_unlock_key	vault.agent	bool	const char *vault_id, size_t vault_id_len, const uint8_t *key, size_t key_len, uint64_t ttl_seconds
vault_agent_forget_vault_unlock_key	vault.agent	bool	const char *vault_id, size_t vault_id_len
vault_agent_get_owner_signing_key	vault.agent	void *	const char *vault_id, size_t vault_len, const char *profile, size_t profile_len
vault_agent_put_owner_signing_key	vault.agent	bool	const char *vault_id, size_t vault_len, const char *profile, size_t profile_len, const void *key, uint64_t ttl_seconds
vault_agent_forget_owner_signing_key	vault.agent	bool	const char *vault_id, size_t vault_len, const char *profile, size_t profile_len
vault_agent_begin_activity	vault.agent	void *	const char *kind, size_t len
vault_agent_end_activity	vault.agent	void	void *handle
vault_local	vault.local	void *	void
vault_create_lockbox_password	vault.local	void *	const void *vault, const char *path, size_t path_len, const uint8_t *password, size_t password_len
vault_open_lockbox_password	vault.local	void *	const void *vault, const char *path, size_t path_len, const uint8_t *password, size_t password_len
vault_create_lockbox_content_key	vault.local	void *	const void *vault, const char *path, size_t path_len, const uint8_t *content_key, size_t key_len, const void *signing_key
vault_create_lockbox_contact	vault.local	void *	const void *vault, const char *path, size_t path_len, const void *contact, const char *name, size_t name_len, const void *signing_key
vault_open_lockbox_content_key	vault.local	void *	const void *vault, const char *path, size_t path_len, const uint8_t *content_key, size_t key_len, const void *signing_key
vault_cache_lockbox_password	vault.local	bool	const void *vault, const char *path, size_t path_len, const uint8_t *password, size_t password_len, uint64_t ttl_seconds
vault_close_lockbox	vault.local	bool	const void *vault, const char *path, size_t path_len
vault_close_all	vault.local	bool	const void *vault
vault_free	vault.local	void	void *vault
